-1852	4236 	26212	-1444	-804	-408	44522
-1564	4236 	26116	-616	-1459	-649	45009.8
-1900	3964 	25880	-144	-2094	-796	45493.1
-1592	3808 	25492	515	-2711	-1062	45966.4
-1052	3600 	25264	980	-3354	-1071	46372.3
-1208	3316 	25012	1459	-4063	-1154	46797
-1332	3136 	24716	2148	-4977	-1200	47283.7
-1360	3072 	24180	2549	-5333	-1228	47703.3
-1360	2864 	23696	2962	-5674	-1263	48123.2
-1304	2832 	23328	3499	-6061	-1296	48545
-1308	2844 	23004	3733	-6380	-1276	48968
-1268	3224 	22908	3863	-6533	-1262	49386.5
-1556	3256 	22728	3997	-6950	-1216	49802.8
-1812	3784 	22212	4078	-7201	-1197	50225.5
-2064	3872 	21920	4197	-7415	-1143	50627.1
-2544	4092 	21624	4313	-7605	-1079	51045.2
-2388	3840 	21144	4368	-7790	-907	51552.3
-2388	3784 	20900	4296	-7820	-770	51989.5
-2180	3432 	20272	4212	-7721	-448	52418.1
-1984	3268 	19864	4147	-7640	-269	52840.2
-1832	3176 	19652	4035	-7581	-41	53257
-1752	2908 	19104	3757	-7411	256	53669.6
-1656	2828 	18772	3561	-7362	474	54103.2
-1484	2584 	18524	3428	-7446	736	54523.7
-1376	2540 	18172	3211	-7551	1117	54920.8
-984	2408 	17900	3071	-7635	1473	55336.2
-804	2584 	17308	2916	-7741	1785	55770.8
-600	2472 	17088	2758	-8077	2310	56188.1
-756	2196 	16452	2723	-7909	2571	56607.6
-404	1776 	15844	2765	-8015	2855	57007.9
-368	1484 	15108	2846	-7989	3083	57429.6
-208	944 	14384	3070	-7947	3360	57909.7
24	708 	13680	3280	-7914	3482	58327.8
68	408 	13224	3415	-7781	3541	58747.4
204	200 	12460	3712	-7553	3567	59144.1
360	0 	11628	3911	-7349	3511	59578.6
248	-240 	11324	4120	-7247	3482	59998.1
256	-540 	10408	4366	-6908	3318	60416.8
412	-612 	9688	4594	-6543	3162	60832.4
520	-932 	9356	4838	-6016	2869	61246.8
416	-1376 	8496	5030	-5694	2664	61666
428	-1624 	7908	5211	-5533	2427	62144.9
552	-2048 	7172	5409	-5351	2039	62563.1
580	-2292 	6324	5488	-5127	1744	62990.1
812	-2736 	5948	5499	-4778	1437	63395.5
940	-2976 	5428	5376	-3973	992	63816.4
972	-3316 	4784	5285	-3358	699	64294.5
1148	-3656 	4656	5178	-2698	397	64712.1
1280	-4016 	3860	4960	-1656	-47	65205.6
1304	-4292 	3376	4795	-964	-318	65609
1452	-4756 	3084	4615	-419	-633	66031.8
1948	-4984 	2896	4173	241	-1079	66513.8
1960	-5092 	2620	3839	733	-1412	66952.3
2316	-5148 	2560	3523	1107	-1755	67356
2192	-5084 	2460	2973	1696	-2317	67770.7
2368	-4904 	2408	2534	2184	-2727	68247.1
2348	-4852 	2320	2157	2597	-3137	68671
1816	-4708 	2552	1609	3086	-3744	69094.6
2300	-4624 	2392	1175	3667	-4157	69512.8
2288	-4272 	2776	813	4050	-4498	69931.1
1916	-4044 	2992	189	4456	-4964	70350.6
2320	-3852 	3124	-252	4918	-5227	70787.5
2236	-3544 	3416	-682	5370	-5420	71208.6
1944	-3312 	4160	-1232	5828	-5699	71606.8
1820	-2744 	4712	-1569	6000	-5793	72023.6
1824	-2340 	5060	-1905	6217	-5870	72465.3
1512	-1488 	5900	-2412	6503	-5963	72886.9
1612	-760 	6592	-2738	6798	-5953	73309.3
1072	-388 	7076	-3066	6673	-5978	73709.4
724	488 	7640	-3499	7008	-5960	74132.6
512	864 	8004	-3758	7211	-5963	74559
-164	1132 	8448	-4032	7408	-6008	74981.5
-792	1740 	9096	-4258	7381	-6064	75398.8
-1648	1956 	9356	-4442	7299	-6144	75794.8
-1672	2176 	9696	-4556	7847	-6252	76232.7
-2572	2296 	10740	-4649	8082	-6290	76724
